address,pointer
0x00010737,08007681
0x00010778,08006a81
0x000107BD,08001f01
0x00010804,08000300
0x0001084D,08007681
0x00010877,08000700
0x000108B4,08010700
0x000108ED,08007681
0x0001092A,08000700
0x00010973,08007681
0x00010981,08020200
0x00010999,08007681
0x000109E8,08007681
0x00010A0E,08000700
0x00010A81,08007681
0x00010AC4,08007681
0x00010B05,08007681
0x00010B25,08007681
0x00010B82,08010b86
0x00010B86,08010d6a
0x00010B87,0808010d
0x00010BB9,08040301
0x00010BFA,08006a81
0x00010C64,08007681
0x00010C98,08040301
0x00010CC6,08007681
0x00010CF9,0828001d
0x00010D6A,08010f35
0x00010D6B,0808010f
0x00010D85,08007681
0x00010DC2,08007681
0x00010E13,08007681
0x00010E3F,08030200
0x00010E6F,08000700
0x00010F0A,08020301
0x00010F49,08011347
0x00010F51,08020300
0x00010F7F,08020201
0x00010FEC,08000101
0x0001101A,08000300
0x0001103C,08020200
0x0001106C,08020101
0x000110BB,08040300
0x000110F2,08020200
0x00011114,08003201
0x00011157,08007681
0x000111BA,08000300
0x00011235,08020300
0x000112A1,08020200
0x000112EA,080113af
0x000112EE,080112ee
0x000112EF,08080112
0x00011315,08020101
0x000113B0,08000076
0x00011420,08013a14
0x00011428,08013599
0x00011430,080127ad
0x00011438,080121fb
0x00011440,08011440
0x00011448,08000100
0x00011496,08000700
0x000114BE,08007681
0x000114D3,08020200
0x000114F3,08001401
0x0001153A,08007681
0x00011571,08007681
0x00011597,08007681
0x00011633,08010000
0x00011652,08001f00
0x00011672,08020200
0x000116A2,08007681
0x000116ED,08011501
0x00011709,08000700
0x0001174C,08020100
0x0001176E,08000700
0x000117B3,08020200
0x000117CF,08040300
0x0001180E,08020200
0x0001182E,08000300
0x0001183E,08020200
0x0001188F,08000300
0x0001192E,08011932
0x00011932,08011a1b
0x00011933,0808011a
0x00011986,08040300
0x000119B4,08007681
0x00011A1B,08011b73
0x00011A20,08020101
0x00011A67,08040300
0x00011AA4,08007681
0x00011AEB,08007681
0x00011B17,08000101
0x00011B7A,08011500
0x00011BB5,08001401
0x00011BDB,08007681
0x00011C0B,08007681
0x00011C33,08007681
0x00011C6E,08007681
0x00011CA9,08007681
0x00011CBB,08000700
0x00011CFA,08007681
0x00011D62,08011501
0x00011DC9,08020200
0x00011DDF,08020100
0x00011E01,08007681
0x00011E1B,08007681
0x00011E31,08020200
0x00011E61,08007681
0x00011EC3,08004981
0x00011EF7,08020101
0x00011F3E,08000700
0x00011F85,08001401
0x00011FE0,08007681
0x00011FF8,08011501
